"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Dextromethorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan|Dextrorphan-total Plasma (Peripheral Venous Blood) [kg/l]","Organism|PeripheralVenousBlood|Dextrorphan-O-glucuronide|Plasma (Peripheral Venous Blood) [µmol/l]"
0,264,0.02406016,0.7757667,8.275911E-07,2.439803
0,267,0.02336491,0.7694527,8.215757E-07,2.422744
0,270,0.02270282,0.7631829,8.154971E-07,2.405396
0,273,0.0220728,0.7569696,8.093742E-07,2.387819
0,276,0.02147376,0.7508232,8.032246E-07,2.370071
0,279,0.02090459,0.744753,7.970642E-07,2.352205
0,282,0.02036417,0.7387674,7.909077E-07,2.33427
0,285,0.01985139,0.732874,7.847689E-07,2.316311
0,288,0.01936514,0.7270802,7.7866E-07,2.29837
0,291,0.01890431,0.7213926,7.725928E-07,2.280483
0,294,0.01846779,0.7158175,7.665778E-07,2.262687
0,297,0.01805448,0.7103601,7.606247E-07,2.245014
0,300,0.01766331,0.7050248,7.547426E-07,2.227495
0,303,0.0172932,0.699815,7.489392E-07,2.210156
0,306,0.01694312,0.6947329,7.432216E-07,2.193022
0,309,0.01661205,0.6897793,7.375959E-07,2.176118
0,312,0.01629901,0.6849545,7.320671E-07,2.159461
0,315,0.01600305,0.6802573,7.266393E-07,2.143068
0,318,0.01572328,0.6756861,7.213156E-07,2.126955
0,321,0.01545883,0.6712388,7.160985E-07,2.111131
0,324,0.01520889,0.6669126,7.109895E-07,2.095606
0,327,0.01497266,0.6627045,7.059893E-07,2.080386
0,330,0.0147494,0.6586113,7.010981E-07,2.065475
0,333,0.01453843,0.6546296,6.963157E-07,2.050875
0,336,0.01433906,0.650756,6.916413E-07,2.036586
0,339,0.01415067,0.6469871,6.870736E-07,2.022608
0,342,0.01397268,0.6433195,6.826112E-07,2.008937
0,345,0.0138045,0.6397498,6.782525E-07,1.995571
0,348,0.01364562,0.6362749,6.739955E-07,1.982506
0,351,0.01349553,0.6328915,6.698382E-07,1.969736
0,354,0.01335375,0.6295965,6.657785E-07,1.957257
0,357,0.01321983,0.6263871,6.618141E-07,1.945063
0,360,0.01309335,0.6232603,6.579429E-07,1.933149
0,363,0.0129739,0.6202134,6.541626E-07,1.921507
0,366,0.01286111,0.6172437,6.50471E-07,1.910133
0,369,0.0127546,0.6143487,6.468658E-07,1.89902
0,372,0.01265404,0.611526,6.433448E-07,1.888162
0,375,0.01255911,0.6087732,6.399059E-07,1.877553
0,378,0.01246949,0.6060879,6.365468E-07,1.867187
0,381,0.0123849,0.6034681,6.332656E-07,1.857058
0,384,0.01230506,0.6009116,6.300601E-07,1.847159
0,387,0.01222971,0.5984164,6.269282E-07,1.837486
0,390,0.01215861,0.5959806,6.238682E-07,1.828032
0,393,0.01209151,0.5936024,6.208779E-07,1.818792
0,396,0.0120282,0.5912797,6.179557E-07,1.80976
0,399,0.01196846,0.589011,6.150996E-07,1.800932
0,402,0.01191211,0.5867946,6.123078E-07,1.792301
0,405,0.01185894,0.5846288,6.095787E-07,1.783863
0,408,0.01180878,0.582512,6.069105E-07,1.775613
0,411,0.01176146,0.5804428,6.043017E-07,1.767545
0,414,0.01171682,0.5784197,6.017505E-07,1.759656
0,417,0.0116747,0.5764413,5.992555E-07,1.75194
0,420,0.01163497,0.5745062,5.968153E-07,1.744394
0,423,0.01159748,0.5726131,5.944281E-07,1.737011
0,426,0.01156211,0.5707607,5.920926E-07,1.72979
0,429,0.01152873,0.5689479,5.898076E-07,1.722724
0,432,0.01149723,0.5671732,5.875715E-07,1.71581
0,435,0.01146749,0.5654358,5.853831E-07,1.709045
0,438,0.01143942,0.5637344,5.832411E-07,1.702424
0,441,0.01141291,0.5620679,5.811441E-07,1.695943
0,444,0.01138787,0.5604353,5.790912E-07,1.689598
0,447,0.01136421,0.5588356,5.770809E-07,1.683387
0,450,0.01134184,0.5572677,5.751122E-07,1.677306
0,453,0.0113207,0.5557309,5.731839E-07,1.67135
0,456,0.01130069,0.554224,5.71295E-07,1.665518
